PLAYER_NAME,GAME_ID,GAME_DATE,TEAM,SEASON,MIN,PTS,FGM,FGA,FG3M,FG3A,FTM,FTA,REB,AST,TOV,STL,BLK,OREB,DREB,PF,PLUS_MINUS,FG_PCT,FG3_PCT,FT_PCT
Cade Cunningham,401809961,2025-10-26,DET,2025-26,38.0,25.0,8.0,18.0,2.0,5.0,7.0,7.0,3.0,8.0,6.0,0.0,1.0,0.0,3.0,4.0,0.0,0.4444444444444444,0.4,1.0
Cade Cunningham,401809245,2025-10-27,DET,2025-26,29.0,12.0,3.0,14.0,1.0,7.0,5.0,6.0,5.0,4.0,5.0,0.0,1.0,2.0,3.0,3.0,-16.0,0.21428571428571427,0.14285714285714285,0.8333333333333334
Cade Cunningham,401809984,2025-10-29,DET,2025-26,36.0,30.0,12.0,24.0,1.0,7.0,5.0,5.0,6.0,10.0,0.0,3.0,3.0,1.0,5.0,2.0,27.0,0.5,0.14285714285714285,1.0
Cade Cunningham,401810002,2025-11-02,DET,2025-26,37.0,21.0,7.0,16.0,2.0,4.0,5.0,8.0,6.0,18.0,1.0,3.0,0.0,0.0,6.0,3.0,11.0,0.4375,0.5,0.625
Cade Cunningham,401810016,2025-11-04,DET,2025-26,39.0,33.0,12.0,20.0,3.0,6.0,6.0,10.0,5.0,8.0,3.0,0.0,1.0,0.0,5.0,5.0,12.0,0.6,0.5,0.6
Cade Cunningham,401810027,2025-11-06,DET,2025-26,37.0,31.0,13.0,28.0,3.0,9.0,2.0,2.0,3.0,10.0,3.0,1.0,0.0,1.0,2.0,4.0,8.0,0.4642857142857143,0.3333333333333333,1.0
Cade Cunningham,401809773,2025-11-08,DET,2025-26,33.0,34.0,13.0,18.0,2.0,6.0,6.0,6.0,1.0,10.0,4.0,1.0,0.0,0.0,1.0,3.0,13.0,0.7222222222222222,0.3333333333333333,1.0
Cade Cunningham,401810050,2025-11-10,DET,2025-26,41.0,26.0,9.0,20.0,1.0,4.0,7.0,9.0,4.0,11.0,5.0,1.0,0.0,0.0,4.0,4.0,13.0,0.45,0.25,0.7777777777777778
Cade Cunningham,401810054,2025-11-11,DET,2025-26,45.0,46.0,14.0,45.0,2.0,11.0,16.0,18.0,12.0,11.0,2.0,5.0,2.0,5.0,7.0,4.0,10.0,0.3111111111111111,0.18181818181818182,0.8888888888888888
Cade Cunningham,401810106,2025-11-19,DET,2025-26,34.0,25.0,10.0,23.0,1.0,7.0,4.0,4.0,6.0,10.0,3.0,2.0,0.0,0.0,6.0,4.0,3.0,0.43478260869565216,0.14285714285714285,1.0
Cade Cunningham,401810127,2025-11-23,DET,2025-26,33.0,29.0,10.0,18.0,3.0,6.0,6.0,6.0,8.0,10.0,4.0,1.0,1.0,1.0,7.0,3.0,14.0,0.5555555555555556,0.5,1.0
Cade Cunningham,401810138,2025-11-25,DET,2025-26,36.0,24.0,8.0,18.0,0.0,2.0,8.0,10.0,11.0,6.0,3.0,0.0,0.0,4.0,7.0,4.0,-1.0,0.4444444444444444,0.0,0.8
Cade Cunningham,401809802,2025-11-26,DET,2025-26,36.0,42.0,12.0,26.0,4.0,9.0,14.0,16.0,8.0,5.0,4.0,1.0,1.0,3.0,5.0,3.0,0.0,0.46153846153846156,0.4444444444444444,0.875
Cade Cunningham,401809814,2025-11-29,DET,2025-26,40.0,39.0,13.0,26.0,4.0,7.0,9.0,12.0,13.0,11.0,8.0,0.0,0.0,4.0,9.0,2.0,16.0,0.5,0.5714285714285714,0.75
Cade Cunningham,401810151,2025-11-30,DET,2025-26,38.0,29.0,14.0,25.0,1.0,5.0,0.0,1.0,4.0,8.0,8.0,2.0,1.0,1.0,3.0,5.0,2.0,0.56,0.2,0.0
Cade Cunningham,401810164,2025-12-02,DET,2025-26,38.0,18.0,7.0,15.0,0.0,4.0,4.0,4.0,8.0,8.0,6.0,6.0,3.0,0.0,8.0,1.0,6.0,0.4666666666666667,0.0,1.0
Cade Cunningham,401810186,2025-12-04,DET,2025-26,35.0,17.0,5.0,15.0,1.0,7.0,6.0,6.0,7.0,7.0,2.0,1.0,0.0,1.0,6.0,1.0,7.0,0.3333333333333333,0.14285714285714285,1.0
Cade Cunningham,401810197,2025-12-06,DET,2025-26,17.0,10.0,4.0,7.0,1.0,1.0,1.0,2.0,2.0,5.0,1.0,1.0,1.0,2.0,0.0,2.0,2.0,0.5714285714285714,1.0,0.5
Darius Garland,401810026,2025-11-06,CLE,2025-26,26.0,8.0,3.0,11.0,2.0,7.0,0.0,0.0,2.0,4.0,3.0,0.0,0.0,1.0,1.0,3.0,5.0,0.2727272727272727,0.2857142857142857,
Darius Garland,401809511,2025-11-08,CLE,2025-26,28.0,20.0,7.0,16.0,4.0,9.0,2.0,2.0,2.0,9.0,2.0,1.0,0.0,1.0,1.0,0.0,24.0,0.4375,0.4444444444444444,1.0
Darius Garland,401810056,2025-11-11,CLE,2025-26,19.0,11.0,2.0,9.0,1.0,3.0,6.0,6.0,5.0,2.0,0.0,2.0,0.0,1.0,4.0,3.0,-5.0,0.2222222222222222,0.3333333333333333,1.0
